#separator:tab
#html:true
Front	Back	Tags	Deck
Give examples of non-invasive vs. invasive emotion sensing.	<b>Non-invasive:</b> facial video, speech, text, ECG/SC on skin surface.<br><b>Invasive:</b> hormone levels, neurotransmitter levels (blood/internal).<br><br><small><i>Source: L02:emotion_recognition, solution_ex1:1a</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
ECG vs. PPG — what does each measure?	<b>ECG:</b> electrical activity of heart from skin electrodes.<br><b>PPG:</b> light reflected by blood vessels (can use webcam on skin/pupil).<br><br><small><i>Source: L02:cardiac</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
Name three time-domain HRV measures.	1. Standard deviation of R-R intervals<br>2. RMSSD (root mean square of successive differences)<br>3. pNN50 (% successive RR diffs > 50 ms)<br><br><small><i>Source: L02:HRV</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
Exercise 1 HRV: seq1={72,75,70,73,76}. Compute mean and σ (std dev).	Mean x̄ = 366/5 = <b>73.2</b><br>σ = √(22.8/5) ≈ <b>2.14</b> → lower HRV, possibly stress/anxiety.<br><br><small><i>Source: solution_ex1:2d</i></small>	type:calc batch:2	AI Digital Characters::01_Affective_Computing
Exercise 1 HRV: seq2={74,71,76,79,80}. Compute σ.	Mean x̄ = <b>76</b><br>σ = √(54/5) ≈ <b>3.29</b> → higher HRV, relaxed/adaptive state.<br><br><small><i>Source: solution_ex1:2d</i></small>	type:calc batch:2	AI Digital Characters::01_Affective_Computing
Tonic vs. phasic skin conductance?	<b>Tonic:</b> slow baseline level (overall arousal).<br><b>Phasic:</b> fast event-related responses (peaks after stimuli). Decomposed via convex optimization (cvxEDA).<br><br><small><i>Source: L02:skin_conductance, exam2024:Q1d</i></small>	type:basic batch:2 priority:high	AI Digital Characters::01_Affective_Computing
Artifact detection for R-R intervals: define QD, MAD, MED, CBD.	QD = (Q3−Q1)/2<br>MAD = (Median Beat − 2.9·QD)/3<br>MED = 3.32·QD<br>CBD = (MAD + MED)/2<br>If |RRᵢ − last valid| > CBD → artifact.<br><br><small><i>Source: L02:artifact_detection, exam2025:Q2c</i></small>	type:basic batch:2 priority:high	AI Digital Characters::01_Affective_Computing
Exam 2025: R-R interval 400 ms. Heart rate in bpm?	HR = 60000 / RR_ms = 60000/400 = <b>150 bpm</b> (unusually high → suspicious).<br><br><small><i>Source: exam2025:Q2c-i</i></small>	type:calc batch:2	AI Digital Characters::01_Affective_Computing
Exam 2025 artifact: RR={795,800,400,810,800,805}. Q1=795, Q3=805, median=800.<br>Compute CBD. Is 400 ms an artifact vs. last valid 800 ms?	QD = (805−795)/2 = <b>5</b><br>MAD = (800−2.9·5)/3 = <b>261.83</b><br>MED = 3.32·5 = <b>16.60</b><br>CBD = (261.83+16.60)/2 = <b>139.22</b><br>|400−800| = 400 > CBD → <b>artifact</b><br><br><small><i>Source: exam2025:Q2c-ii, L02:artifact_detection</i></small>	type:calc batch:2 priority:high	AI Digital Characters::01_Affective_Computing
Self-Assessment Manikin (SAM) — what three dimensions?	Valence, Arousal, Dominance — used as ground truth for affect labeling.<br><br><small><i>Source: L02:SAM</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
Boredom in the dimensional model?	<b>Low valence</b> (mildly unpleasant), <b>low arousal</b> (passive), <b>medium-to-low dominance</b>.<br><br><small><i>Source: solution_ex1:2b</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
Video-based emotion recognition pipeline (4 stages)?	Preprocessing (frame rate, brightness) → Feature extraction (AUs, gaze, MAR, fidgeting) → Classification (valence/arousal) → Output<br><br><small><i>Source: L02:video_pipeline</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
Basic emotions theory (Ekman) — three key claims?	1. Caused by phylogenetic event categories<br>2. Elicit physiological + expressive signals<br>3. Trigger innate action plans (fight/flight)<br><br><small><i>Source: L02:basic_emotions_theory</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
What is core affect in dimensional emotion theory?	Most elementary affective feelings (valence + arousal) — part of but not identical to a full emotional episode (which also includes cognitive appraisal, action tendencies).<br><br><small><i>Source: L02:dimensional</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
Biosensor pipeline for affect classification?	Raw signal → artifact detection → feature extraction (HRV stats, SC phasic/tonic) → classifier (e.g. Random Forest) → valence/arousal prediction.<br><br><small><i>Source: L02:biosensor_pipeline</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
Fear Action Units (from lecture table)?	AU1 + AU2 + AU4 + AU5 + AU7 + AU20 + AU26 (brow raisers, lid raiser, lip stretcher, jaw drop, etc.)<br><br><small><i>Source: L02:AU_table</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
Anger Action Units?	AU4 + AU5 + AU7 + AU23 (Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener)<br><br><small><i>Source: L02:AU_table</i></small>	type:basic batch:2	AI Digital Characters::01_Affective_Computing
Scaled dot-product attention: formula for score and context vector?	Score: s_t = (q · x_t) / √d<br>Weights: a_t = softmax(s_t)<br>Context: c = Σ_t a_t · x_t<br><br><small><i>Source: exam2024:Q3, L03:attention</i></small>	type:basic batch:1 priority:high	AI Digital Characters::02_Attention_Deep_Learning
Why does the transformer need positional encoding?	Self-attention is <b>permutation-invariant</b> — without positional encoding, token order is lost.<br><br><small><i>Source: exam2024:Q1e, solution_ex1:3c</i></small>	type:basic batch:1 priority:high	AI Digital Characters::02_Attention_Deep_Learning
How do RNNs capture long-range dependencies?	By maintaining a <b>hidden state</b> updated at each time step — acts as memory across the sequence.<br><br><small><i>Source: solution_ex1:3a</i></small>	type:basic batch:1	AI Digital Characters::02_Attention_Deep_Learning
Exam 2024 — Attention: q=[1,0,1], x₁=[1,0,0], x₂=[0,1,0], x₃=[1,1,0], d=3.<br>Compute similarity scores s_t = (q·x_t)/√d.	1. s₁ = (1+0+0)/√3 = <b>1/√3 ≈ 0.577</b><br>2. s₂ = (0+0+0)/√3 = <b>0</b><br>3. s₃ = (1+0+0)/√3 = <b>1/√3 ≈ 0.577</b><br><br><small><i>Source: exam2024:Q3a</i></small>	type:calc batch:1 priority:high	AI Digital Characters::02_Attention_Deep_Learning
Exam 2024 — Attention (continued): scores s₁=s₃=1/√3, s₂=0.<br>Compute attention weights via softmax.	exp(1/√3) ≈ 1.947<br>exp(0) = 1<br>Sum = 1.947 + 1 + 1.947 = 4.894<br><b>a₁ ≈ 0.398, a₂ ≈ 0.204, a₃ ≈ 0.398</b><br><br><small><i>Source: exam2024:Q3b</i></small>	type:calc batch:1 priority:high	AI Digital Characters::02_Attention_Deep_Learning
Exam 2024 — Attention (continued): a₁≈0.398, a₂≈0.204, a₃≈0.398.<br>Compute context vector c = Σ a_t · x_t.	c = 0.398·[1,0,0] + 0.204·[0,1,0] + 0.398·[1,1,0]<br>= [0.796, 0.602, 0]<br><b>c ≈ [0.80, 0.60, 0]</b> (rounded)<br><br><small><i>Source: exam2024:Q3c</i></small>	type:calc batch:1 priority:high	AI Digital Characters::02_Attention_Deep_Learning
Neural network unit: formulas for z and output a?	z = w·x + b (weighted sum)<br>a = σ(z) (activation function applied to z)<br><br><small><i>Source: L03:neural_unit</i></small>	type:basic batch:2	AI Digital Characters::02_Attention_Deep_Learning
Exercise 1: w=[2.2,−3,1.5], x=[0,5,8], b=3, ReLU activation. Compute output.	z = 2.2·0 + (−3)·5 + 1.5·8 + 3 = 0<br>ReLU(0) = <b>0</b><br><br><small><i>Source: solution_ex1:3b</i></small>	type:calc batch:2	AI Digital Characters::02_Attention_Deep_Learning
Why do standard RNNs suffer from vanishing gradients?	Repeated multiplication of gradients through many time steps → gradients shrink exponentially, so long-range dependencies are hard to learn.<br><br><small><i>Source: exam2025:Q3a-ii, L03:rnn_problems</i></small>	type:basic batch:2 priority:high	AI Digital Characters::02_Attention_Deep_Learning
LSTM gating mechanism — three gates and their role?	<b>Forget gate:</b> what to discard from cell state.<br><b>Input gate:</b> what new info to store.<br><b>Output gate:</b> what to output.<br>Cell state highway mitigates vanishing gradients.<br><br><small><i>Source: exam2025:Q3a-iii, L03:LSTM</i></small>	type:basic batch:2 priority:high	AI Digital Characters::02_Attention_Deep_Learning
Encoder-decoder architecture — how does it work?	Encoder maps input sequence (x₁…x_T) to context vector h_T.<br>Decoder uses h_T to initialize autoregressive generation of output sequence (y₁…y_m).<br><br><small><i>Source: L03:encoder_decoder</i></small>	type:basic batch:2	AI Digital Characters::02_Attention_Deep_Learning
Teacher forcing vs. inference in encoder-decoder training?	<b>Training:</b> feed gold previous token y_{t−1} as decoder input.<br><b>Inference:</b> feed model's own previous prediction ŷ_{t−1}.<br><br><small><i>Source: L03:teacher_forcing</i></small>	type:basic batch:2	AI Digital Characters::02_Attention_Deep_Learning
Self-attention vs. cross-attention in Transformers?	<b>Self-attention:</b> Q,K,V from same sequence (encoder or masked decoder).<br><b>Cross-attention:</b> Q from decoder, K,V from encoder output.<br><br><small><i>Source: L03:attention, L03:transformers</i></small>	type:basic batch:2	AI Digital Characters::02_Attention_Deep_Learning
Why masked multi-head attention in the Transformer decoder?	Prevents positions from attending to <b>future</b> tokens — at test time future tokens are unknown (no cheating).<br><br><small><i>Source: L03:masked_attention</i></small>	type:basic batch:2 priority:high	AI Digital Characters::02_Attention_Deep_Learning
Purpose of multi-head attention?	Multiple attention heads let the model attend to <b>different types of relationships</b> simultaneously (e.g., syntactic vs. semantic).<br><br><small><i>Source: L03:multi_head</i></small>	type:basic batch:2	AI Digital Characters::02_Attention_Deep_Learning
Transformer skip connections and layer normalization — why?	<b>Skip connections:</b> h_res = c + e — eases gradient flow.<br><b>Layer norm:</b> normalizes across sequence dimension per example (not batch norm).<br><br><small><i>Source: L03:transformers</i></small>	type:basic batch:2	AI Digital Characters::02_Attention_Deep_Learning
Sinusoidal positional encoding: PE(t,2i) = {{c1::sin(t/10000^(2i/d))}}, PE(t,2i+1) = {{c2::cos(t/10000^(2i/d))}}	Added to token embedding: ê_t = e_t + PE(t). Gives unique position signal without recurrence.<br><br><small><i>Source: L03:positional_encoding, solution_ex1:3c</i></small>	type:cloze batch:2	AI Digital Characters::02_Attention_Deep_Learning
Exercise 1 attention: q=[3,1], k₁=[1,2], k₂=[2,0], d=2.<br>Compute scaled dot-product scores.	s₁ = (3·1+1·2)/√2 = 5/√2 ≈ <b>3.54</b><br>s₂ = (3·2+1·0)/√2 = 6/√2 ≈ <b>4.24</b><br><br><small><i>Source: solution_ex1:3d</i></small>	type:calc batch:2	AI Digital Characters::02_Attention_Deep_Learning
Exercise 1 attention (cont.): scores≈[3.54, 4.24]. Softmax weights?	a₁ = e^3.54/(e^3.54+e^4.24) ≈ <b>0.331</b><br>a₂ ≈ <b>0.669</b><br><br><small><i>Source: solution_ex1:3d</i></small>	type:calc batch:2	AI Digital Characters::02_Attention_Deep_Learning
Exercise 1 attention (cont.): v₁=[0,3], v₂=[1,1], weights 0.331/0.669.<br>Context vector?	c = 0.331·[0,3] + 0.669·[1,1] = <b>[0.669, 1.662]</b><br><br><small><i>Source: solution_ex1:3d</i></small>	type:calc batch:2	AI Digital Characters::02_Attention_Deep_Learning
Exam 2025: X=[[1,2],[3,4]], PE(pos,0)=sin(pos), PE(pos,1)=cos(pos).<br>Compute X̂ (embeddings + PE) for positions 0 and 1.	PE(0)=[sin(0),cos(0)]=[0,1] → x̂₀=[1,2]+[0,1]=<b>[1,3]</b><br>PE(1)=[sin(1),cos(1)]≈[0.84,0.54] → x̂₁=[3,4]+[0.84,0.54]=<b>[3.84,4.54]</b><br><br><small><i>Source: exam2025:Q3b-i</i></small>	type:calc batch:2 priority:high	AI Digital Characters::02_Attention_Deep_Learning
Bidirectional RNN — how does it work?	Two RNNs: left-to-right and right-to-left on the sequence. Hidden states combined (concat/add/multiply) so each position sees both past and future context.<br><br><small><i>Source: L03:bidirectional_rnn</i></small>	type:basic batch:2	AI Digital Characters::02_Attention_Deep_Learning
RNN sequence classification — which hidden state is used?	Typically the <b>last token's hidden state</b> h_T (e.g., for sentiment classification).<br><br><small><i>Source: L03:sequence_classification</i></small>	type:basic batch:2	AI Digital Characters::02_Attention_Deep_Learning
What is backpropagation through time (BPTT)?	Unfold RNN over time steps and apply standard backprop across the unfolded graph to train shared weights U, V, W.<br><br><small><i>Source: L03:BPTT</i></small>	type:basic batch:2	AI Digital Characters::02_Attention_Deep_Learning
Exam 2025 Q3a: Why are RNNs suitable for sequential data?	They maintain a <b>hidden state</b> across time steps that summarizes past inputs — natural fit for text, speech, and video sequences.<br><br><small><i>Source: exam2025:Q3a-i</i></small>	type:basic batch:2	AI Digital Characters::02_Attention_Deep_Learning
RNN language modeling objective?	J = −Σ_t log P(y_t | x₁…x_t) — maximize probability of next token given history. Training uses teacher forcing.<br><br><small><i>Source: L03:language_modeling</i></small>	type:basic batch:2	AI Digital Characters::02_Attention_Deep_Learning
Cross-entropy loss for classification?	L = −Σ y_i · log(ŷ_i) — measures divergence between true distribution y and predicted ŷ. Used to train neural classifiers.<br><br><small><i>Source: L03:training</i></small>	type:basic batch:2	AI Digital Characters::02_Attention_Deep_Learning
Mel scale formula (Hz → Mel)?	<b>Mel = 1127 · ln(1 + f/700)</b><br>Inverse: f = 700 · (e^(Mel/1127) − 1)<br><br><small><i>Source: exam2024:Q4, solution_ex1:4b</i></small>	type:basic batch:1 priority:high	AI Digital Characters::03_Speech_Recognition_Mel
What is Word Error Rate (WER)?	WER = (S + D + I) / N<br>S=substitutions, D=deletions, I=insertions, N=words in reference.<br>Lower is better.<br><br><small><i>Source: L04:wer, solution_ex3:1i</i></small>	type:basic batch:1 priority:high	AI Digital Characters::03_Speech_Recognition_Mel
Mel filter banks: triangular filters — what are start, peak, end?	For N filters, use N+2 equally spaced Mel points. Filter i peaks at point i+1, spans from point i to point i+2.<br><br><small><i>Source: exam2024:Q4, solution_ex1:4b</i></small>	type:basic batch:1	AI Digital Characters::03_Speech_Recognition_Mel
Exam 2024 Mel filters: 200–8000 Hz, 3 filters, 5 Mel points (i=0..4).<br>Compute Mel endpoints and first Hz point.	M_low = 1127·ln(1+200/700) ≈ <b>301 Mel</b><br>M_high = 1127·ln(1+8000/700) ≈ <b>2840 Mel</b><br>Δ = (2840−301)/4 ≈ 635<br>M₀ ≈ 301 → f₀ ≈ <b>200 Hz</b> (check: matches lower bound)<br><br><small><i>Source: exam2024:Q4</i></small>	type:calc batch:1 priority:high	AI Digital Characters::03_Speech_Recognition_Mel
What is a phone in speech recognition?	A speech sound represented by a symbol (ARPAbet/IPA). A string of phones = pronunciation of a word.<br><br><small><i>Source: L04:phonetics</i></small>	type:basic batch:2	AI Digital Characters::03_Speech_Recognition_Mel
Relationship between F0, pitch, and the Mel scale?	F0 = lowest frequency of periodic waveform. <b>Pitch</b> = perceptual correlate of F0 (not linear above ~1 kHz). <b>Mel scale</b> models perceived pitch spacing.<br><br><small><i>Source: L04:pitch</i></small>	type:basic batch:2 priority:high	AI Digital Characters::03_Speech_Recognition_Mel
Exercise 1 speech: waveform period T=0.2 s, max amplitude A=2.<br>Compute frequency f and identify amplitude.	f = 1/T = 1/0.2 = <b>5 Hz</b><br>Amplitude A = <b>2</b> (max value on y-axis).<br><br><small><i>Source: solution_ex1:4a</i></small>	type:calc batch:2	AI Digital Characters::03_Speech_Recognition_Mel
Speech feature extraction pipeline (after windowing)?	Window speech → <b>DFT/FFT</b> per frame → power spectrum → <b>Mel filter bank</b> → log → feature vector (e.g. 80-dim).<br><br><small><i>Source: L04:feature_extraction</i></small>	type:basic batch:2 priority:high	AI Digital Characters::03_Speech_Recognition_Mel
Typical windowing parameters for speech?	Window size: <b>20–40 ms</b>. Stride: ~<b>50%</b> overlap. Hamming window reduces spectral leakage at frame edges.<br><br><small><i>Source: L04:windowing</i></small>	type:basic batch:2	AI Digital Characters::03_Speech_Recognition_Mel
Hamming window formula and purpose?	w(n) = 0.54 − 0.46·cos(2πn/(N−1))<br>Tapers frame edges → minimizes discontinuities and spectral leakage.<br><br><small><i>Source: L04:hamming</i></small>	type:basic batch:2	AI Digital Characters::03_Speech_Recognition_Mel
Mel filter bank construction — 5 steps?	1. Convert f_low, f_high to Mel<br>2. Space N+2 points linearly in Mel<br>3. Convert back to Hz<br>4. Round to FFT bins<br>5. Create overlapping triangular filters (peak at center point)<br><br><small><i>Source: L04:mel_construction, exam2024:Q4</i></small>	type:basic batch:2 priority:high	AI Digital Characters::03_Speech_Recognition_Mel
Exercise 1 Mel: 100–2000 Hz, 4 filters (6 Mel points).<br>M_low and M_high?	M_low = 1127·ln(1+100/700) ≈ <b>150.36 Mel</b><br>M_high = 1127·ln(1+2000/700) ≈ <b>1521.45 Mel</b><br><br><small><i>Source: solution_ex1:4b</i></small>	type:calc batch:2	AI Digital Characters::03_Speech_Recognition_Mel
Exercise 1 Mel (cont.): ΔM=(1521.45−150.36)/5≈274.22.<br>List M₀…M₅ and Hz equivalents.	M: 150, 425, 699, 973, 1247, 1521<br>Hz: <b>100, 320, 600, 959, 1415, 2000</b><br><br><small><i>Source: solution_ex1:4b</i></small>	type:calc batch:2 priority:high	AI Digital Characters::03_Speech_Recognition_Mel
Exercise 1 Mel: define 4 triangular filters from 6 Hz points.	Filter 1: 100–320–600 Hz<br>Filter 2: 320–600–959 Hz<br>Filter 3: 600–959–1415 Hz<br>Filter 4: 959–1415–2000 Hz<br><br><small><i>Source: solution_ex1:4b</i></small>	type:basic batch:2	AI Digital Characters::03_Speech_Recognition_Mel
Exam 2024 Mel: 200–8000 Hz, 3 filters, 5 Mel points.<br>List all 5 Hz boundary points.	M_low≈301, M_high≈2840, Δ≈635<br>Hz: <b>200, 887, 2098, 4234, 8000</b><br><br><small><i>Source: exam2024:Q4</i></small>	type:calc batch:2 priority:high	AI Digital Characters::03_Speech_Recognition_Mel
Exercise 1 WER case 1: REF has 6 words, 2 substitutions (a→at, towel→all). WER?	WER = 100 × (2+0+0) / 6 = <b>33.3%</b><br><br><small><i>Source: solution_ex1:4c</i></small>	type:calc batch:2	AI Digital Characters::03_Speech_Recognition_Mel
Exercise 1 WER case 2: REF has 8 words, 2 substitutions + 1 insertion. WER?	WER = 100 × 3/8 = <b>37.5%</b><br><br><small><i>Source: solution_ex1:4c</i></small>	type:calc batch:2	AI Digital Characters::03_Speech_Recognition_Mel
CTC (Connectionist Temporal Classification) — key ideas?	Outputs per frame incl. <b>blank</b> token. Collapse consecutive duplicates → many alignments map to same output. Training uses dynamic programming over alignments.<br><br><small><i>Source: L04:CTC</i></small>	type:basic batch:2	AI Digital Characters::03_Speech_Recognition_Mel
RNN-Transducer — three components?	1. <b>Encoder</b> (acoustic model)<br>2. <b>Predictor</b> (language model, conditions on output so far)<br>3. <b>Joiner</b> (feedforward network combining encoder + predictor)<br><br><small><i>Source: L04:RNN-T</i></small>	type:basic batch:2 priority:high	AI Digital Characters::03_Speech_Recognition_Mel
Why does RNN-Transducer support streaming?	Online decoding: increment output index u on non-blank token, increment acoustic index t on blank — processes audio incrementally.<br><br><small><i>Source: L04:RNN-T, exam2024:Q1b</i></small>	type:basic batch:2 priority:high	AI Digital Characters::03_Speech_Recognition_Mel
Speech training augmentation — three types?	<b>Time warping</b> (distort time axis)<br><b>Frequency masking</b> (mask mel bands)<br><b>Time masking</b> (mask time frames)<br><br><small><i>Source: L04:augmentation</i></small>	type:basic batch:2	AI Digital Characters::03_Speech_Recognition_Mel
Analog-to-digital conversion — two steps?	<b>Sampling:</b> discrete time points.<br><b>Quantization:</b> map continuous amplitudes to finite discrete values (can be positive or negative).<br><br><small><i>Source: solution_ex1:1g, L04:adc</i></small>	type:basic batch:2	AI Digital Characters::03_Speech_Recognition_Mel
Why subsample acoustic features in encoder-decoder ASR?	Input acoustic sequence is much longer than output token sequence — subsampling (low frame rate, CNN pooling, pyramidal RNN) compresses time dimension.<br><br><small><i>Source: L04:subsampling</i></small>	type:basic batch:2	AI Digital Characters::03_Speech_Recognition_Mel
WER: define substitution, insertion, deletion.	<b>Substitution:</b> wrong word in place of REF word.<br><b>Insertion:</b> extra word in SYS not in REF.<br><b>Deletion:</b> REF word missing from SYS.<br><br><small><i>Source: L04:WER, solution_ex3:1i</i></small>	type:basic batch:2	AI Digital Characters::03_Speech_Recognition_Mel
Exam 2024 Mel: Hz points 200, 887, 2098, 4234, 8000 (3 filters).<br>Define filter 1 and filter 2 (start–peak–end).	Filter 1: <b>200 – 887 – 2098 Hz</b><br>Filter 2: <b>887 – 2098 – 4234 Hz</b><br>Filter 3: 2098 – 4234 – 8000 Hz<br><br><small><i>Source: exam2024:Q4</i></small>	type:calc batch:2 priority:high	AI Digital Characters::03_Speech_Recognition_Mel
Prosody in speech — what does it include?	Pitch (F0), duration, loudness, rhythm, intonation, prominence — NOT just spectral/formant features.<br><br><small><i>Source: L04:prosody, exam2025:Q1d</i></small>	type:basic batch:2	AI Digital Characters::03_Speech_Recognition_Mel
Whisper ASR architecture type?	Encoder-decoder Transformer trained on large-scale weakly supervised speech data (multilingual, multitask).<br><br><small><i>Source: L04:Whisper</i></small>	type:basic batch:2	AI Digital Characters::03_Speech_Recognition_Mel
Greedy decoding vs. top-k vs. top-p (nucleus) sampling?	<b>Greedy:</b> always pick highest prob token (deterministic, repetitive).<br><b>Top-k:</b> sample from k highest-prob tokens.<br><b>Top-p:</b> sample from smallest set with cumulative prob ≥ p.<br><br><small><i>Source: exam2024:Q5, solution_ex2:1a</i></small>	type:basic batch:1 priority:high	AI Digital Characters::04_Chatbots_LLM
Three disadvantages of fine-tuning over prompt engineering?	1. Requires <b>labeled data</b> and significant <b>compute</b><br>2. Risk of <b>catastrophic forgetting</b><br>3. Less flexible to update — must <b>retrain</b> for new tasks<br><br><small><i>Source: exam2024:Q5b-i</i></small>	type:basic batch:1 priority:high	AI Digital Characters::04_Chatbots_LLM
Name three prompt engineering strategies and how they work.	<b>Zero-shot CoT:</b> add 'Let's think step by step' to elicit reasoning.<br><b>Few-shot:</b> provide input-output examples in prompt.<br><b>Self-ask:</b> decompose into sub-questions before answering.<br><br><small><i>Source: exam2024:Q5b-ii, solution_ex2:2d</i></small>	type:basic batch:1 priority:high	AI Digital Characters::04_Chatbots_LLM
Exam 2024 prompt failure: model mimics few-shot format instead of answering. Why and fix?	<b>Problem:</b> Model copies few-shot <b>pattern</b> (Question/Answer/Hint) instead of counting.<br><b>Reason:</b> Trained on internet text with Q&A formats.<br><b>Fix:</b> Clearer instructions, chain-of-thought, or fine-tune on task-specific data.<br><br><small><i>Source: exam2024:Q5b-iii</i></small>	type:basic batch:1 priority:high	AI Digital Characters::04_Chatbots_LLM
Perplexity formula?	PP = 2^(−(1/N) · Σ log₂ P(w_i))<br>Lower perplexity = model is less 'surprised' by the text.<br><br><small><i>Source: exam2025:Q5c-ii, L06:perplexity</i></small>	type:basic batch:1	AI Digital Characters::04_Chatbots_LLM
Exam 2025 — Top-p with p=0.85. Token probs: cat=0.35, dog=0.30, runs=0.15, fast=0.10, tree=0.06, blue=0.04.<br>List candidate tokens.	Cumulative: 0.35 → 0.65 → 0.80 → <b>0.90 ≥ 0.85</b><br><b>Candidates: cat, dog, runs, fast</b> (stop when cum ≥ 0.85)<br><br><small><i>Source: exam2025:Q5b-ii, solution_ex2:2c</i></small>	type:calc batch:1 priority:high	AI Digital Characters::04_Chatbots_LLM
Exam 2025 — Cosine similarity: e_A=[0.5,0.1,0.4], e_B=[0.4,0.3,0.1].	e_A·e_B = 0.20+0.03+0.04 = 0.27<br>|e_A| = √(0.25+0.01+0.16) = √0.42 ≈ 0.648<br>|e_B| = √(0.16+0.09+0.01) = √0.26 ≈ 0.510<br>cos = 0.27/(0.648·0.510) ≈ <b>0.82</b><br><br><small><i>Source: exam2025:Q5c-i</i></small>	type:calc batch:1 priority:high	AI Digital Characters::04_Chatbots_LLM
Exam 2025 — Perplexity of 'The cat sits quietly.' Token probs: 0.20, 0.10, 0.15, 0.25.	log probs: ln(0.20)+ln(0.10)+ln(0.15)+ln(0.25) ≈ −7.20<br>PP = exp(−(−7.20)/4) = exp(1.80) ≈ <b>6.04</b><br><br><small><i>Source: exam2025:Q5c-ii</i></small>	type:calc batch:1	AI Digital Characters::04_Chatbots_LLM
TTS pipeline stages (in order)?	1. <b>Text normalization</b><br>2. <b>Phonetic analysis</b> (G2P)<br>3. <b>Prosodic analysis</b><br>4. <b>Acoustic model</b> (mel spectrogram)<br>5. <b>Vocoder</b> (waveform)<br><br><small><i>Source: L08:pipeline, solution_ex3</i></small>	type:basic batch:1 priority:high	AI Digital Characters::05_Speech_Synthesis
What is a diphone? Why preferred over phones?	A diphone spans <b>half of each adjacent phone</b> — captures coarticulation transitions. Sounds more natural than isolated phones.<br><br><small><i>Source: exam2024:Q6a-i</i></small>	type:basic batch:1	AI Digital Characters::05_Speech_Synthesis
Unit selection: target cost vs. join cost?	<b>Target cost:</b> how well a unit matches desired acoustic features.<br><b>Join cost:</b> discontinuity at unit boundaries.<br>Minimize total cost to select best sequence.<br><br><small><i>Source: exam2024:Q6a-ii</i></small>	type:basic batch:1	AI Digital Characters::05_Speech_Synthesis
Tacotron 2 vs. FastSpeech — key architectural difference?	<b>Tacotron 2:</b> autoregressive decoder + attention (implicit duration).<br><b>FastSpeech:</b> non-autoregressive + <b>duration predictor</b> (parallel decoding).<br><br><small><i>Source: exam2024:Q6b-ii, solution_ex3:2a</i></small>	type:basic batch:1 priority:high	AI Digital Characters::05_Speech_Synthesis
Griffin-Lim vs. WaveNet vs. HiFi-GAN?	<b>Griffin-Lim:</b> iterative phase recovery, no training, fast but robotic.<br><b>WaveNet:</b> autoregressive neural, high quality, slow.<br><b>HiFi-GAN:</b> GAN vocoder, parallel, real-time, near WaveNet quality.<br><br><small><i>Source: exam2024:Q6b-iii, solution_ex3:3a</i></small>	type:basic batch:1 priority:high	AI Digital Characters::05_Speech_Synthesis
DiffWave: forward process, reverse process, conditioning?	<b>Forward:</b> add Gaussian noise over steps.<br><b>Reverse:</b> iteratively denoise, predict noise at each step.<br><b>Conditioned on:</b> mel spectrogram.<br><br><small><i>Source: exam2025:Q6b-ii, solution_ex3:3d</i></small>	type:basic batch:1	AI Digital Characters::05_Speech_Synthesis
Why learned speaker embeddings over one-hot in multi-speaker TTS?	Embeddings capture <b>continuous similarity</b> between speakers, enable interpolation, and generalize better than sparse one-hot vectors.<br><br><small><i>Source: exam2025:Q6b-iii, solution_ex3:4a</i></small>	type:basic batch:1	AI Digital Characters::05_Speech_Synthesis
Standard format for knowledge graphs?	<b>RDF triples:</b> (subject, predicate, object) — e.g. (Dr. Clark, affiliatedWith, CS Dept).<br><br><small><i>Source: exam2024:Q7a, L12:kg</i></small>	type:basic batch:1 priority:high	AI Digital Characters::06_Knowledge_Graphs
SPARQL: what is it used for?	W3C standard <b>query language</b> for RDF knowledge graphs. Pattern matching with SELECT/WHERE.<br><br><small><i>Source: exam2024:Q7b, solution_ex5:2b</i></small>	type:basic batch:1 priority:high	AI Digital Characters::06_Knowledge_Graphs
Massive incomplete KG: what approach instead of exact SPARQL?	<b>Knowledge graph embeddings</b> (TransE, TransR) — represent entities/relations as vectors for link prediction and similarity queries.<br><br><small><i>Source: exam2024:Q7b, L12:kge</i></small>	type:basic batch:1 priority:high	AI Digital Characters::06_Knowledge_Graphs
TransE scoring function?	For triple (h, r, t): score = <b>||h + r − t||</b> (L1 or L2 norm).<br>Lower score = more likely true. Training: minimize score for true triples.<br><br><small><i>Source: exam2025:Q7c, solution_ex5:2c</i></small>	type:basic batch:1 priority:high	AI Digital Characters::06_Knowledge_Graphs
